slug,category,title,path,summary_hint
classical,classical,§classical,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/classical/classical.md,"Classical music is a tradition of written instrumental and vocal compositions spanning from approximately 1600 to the present day, characterized by complex harmonic structures, sophisticated compositional techniques, formal notation, and an emphasis on structural development. Unlike folk and popular"
opera,classical,§opera,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/classical/opera.md,"Opera is the grand synthesis of Western artistic traditions: a dramatic form that unites vocal music, orchestral accompaniment, theatrical staging, and literary narrative into a single cohesive artwork. Born in late Renaissance Florence around 1600, opera emerged from humanist attempts to recreate a"
americana,country-folk,§americana,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/americana.md,"Americana is a roots-based musical genre that authentically blends country, folk, blues, and rock traditions into a distinctly American sound. Rooted in the musical heritage of rural America, Americana emphasizes strong songwriting, honest storytelling, and instrumental mastery over commercial produ"
bakersfield-sound,country-folk,§bakersfield-sound,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/bakersfield-sound.md,"The Bakersfield sound is a hard-edged, electric country style that emerged in the late 1950s and 1960s from Bakersfield, California — a dusty oil-and-agriculture town in the San Joaquin Valley that became an unlikely rival to Nashville's dominance. Fueled by Dust Bowl migrants who brought their Okie"
bluegrass,country-folk,§bluegrass,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/bluegrass.md,"Bluegrass emerged in the late 1940s when mandolinist Bill Monroe—the ""Father of Bluegrass""—crystallized a new sound from the Appalachian mountain music traditions he grew up with in Kentucky. Monroe's Blue Grass Boys, particularly the legendary 1946 lineup featuring Lester Flatt, Earl Scruggs, and C"
bro-country,country-folk,§bro-country,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/bro-country.md,"Bro-country is a commercially dominant strain of country music that emerged in the early 2010s, characterized by its fusion of country instrumentation with hip-hop production techniques, rock energy, and lyrics celebrating a specific lifestyle: trucks, tailgates, cold beer, back roads, tan legs, and"
celtic,country-folk,§celtic,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/celtic.md,"Celtic music is a broad family of folk music traditions rooted in the cultures of Northwestern Europe's Celtic nations: Ireland, Scotland, Wales, Brittany, Cornwall, Galicia, and the Isle of Man. The tradition stretches back centuries, with harpists and bards occupying central roles in Irish and Sco"
country,country-folk,§country,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/country.md,"Country music is a quintessentially American genre rooted in folk, blues, and gospel traditions of the rural South. Emerging in the 1920s from Appalachian mountain music and Western cowboy songs, country has evolved through decades of stylistic shifts—from the honky-tonk bars of the 1950s to the pol"
folk,country-folk,§folk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/folk.md,"Folk music represents one of humanity's oldest musical traditions—the songs of common people, passed down through generations, evolving with each retelling. Emerging from oral traditions across cultures, Western folk crystallized as a distinct genre in the early 20th century when musicologists and c"
honky-tonk,country-folk,§honky-tonk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/honky-tonk.md,"Honky-tonk is the raw, dance-hall-born sound that defined country music's golden era from the 1940s through the 1960s. Originating in the rowdy beer joints and dance halls of Texas and the American South, honky-tonk emerged as electrified country — louder instruments were needed to cut through noisy"
